image_path,component,layer_idx,layer_name,height,width,pha_topk,pha_sim
0001_c2_f0046662.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.26364678144454956
0001_c2_f0046662.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.3728618919849396
0001_c2_f0046662.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.3982585072517395
0001_c2_f0046662.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.40070441365242004
0001_c2_f0046782.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.15600480139255524
0001_c2_f0046782.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.18012849986553192
0001_c2_f0046782.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.2175782322883606
0001_c2_f0046782.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.24721050262451172
0001_c2_f0046782.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.3196558356285095
0001_c2_f0046782.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.3825867772102356
0001_c2_f0046782.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.4382043778896332
0001_c2_f0046782.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.45236068964004517
0001_c2_f0046782.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.2311447113752365
0001_c2_f0046782.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.3350389301776886
0001_c2_f0046782.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.36318111419677734
0001_c2_f0046782.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.3644445538520813
0001_c2_f0046902.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.14808504283428192
0001_c2_f0046902.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.14573457837104797
0001_c2_f0046902.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.1559908390045166
0001_c2_f0046902.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.1750940978527069
0001_c2_f0046902.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.23883630335330963
0001_c2_f0046902.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.310759037733078
0001_c2_f0046902.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.36114808917045593
0001_c2_f0046902.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.369089275598526
0001_c2_f0046902.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.16618795692920685
0001_c2_f0046902.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.26566019654273987
0001_c2_f0046902.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.2967912554740906
0001_c2_f0046902.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.29739850759506226
0001_c2_f0047022.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.17329856753349304
0001_c2_f0047022.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.18253573775291443
0001_c2_f0047022.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.2022579312324524
0001_c2_f0047022.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.22781053185462952
0001_c2_f0047022.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.304524302482605
0001_c2_f0047022.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.38394784927368164
0001_c2_f0047022.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.4425778090953827
0001_c2_f0047022.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.4583217203617096
0001_c2_f0047022.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.26653972268104553
0001_c2_f0047022.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.36352336406707764
0001_c2_f0047022.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.39794689416885376
0001_c2_f0047022.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.40021416544914246
0001_c5_f0051247.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.15863236784934998
0001_c5_f0051247.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.15873247385025024
0001_c5_f0051247.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.15917548537254333
0001_c5_f0051247.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.16787828505039215
0001_c5_f0051247.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.2301304042339325
0001_c5_f0051247.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.3094342052936554
0001_c5_f0051247.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.36906272172927856
0001_c5_f0051247.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.37879079580307007
0001_c5_f0051247.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.1996343433856964
0001_c5_f0051247.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.2967705726623535
0001_c5_f0051247.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.32569602131843567
0001_c5_f0051247.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.32621926069259644
0001_c5_f0051367.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.1568014770746231
0001_c5_f0051367.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.17064429819583893
0001_c5_f0051367.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.1941962093114853
0001_c5_f0051367.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.21213997900485992
0001_c5_f0051367.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.2988429069519043
0001_c5_f0051367.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.37789303064346313
0001_c5_f0051367.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.43073803186416626
0001_c5_f0051367.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.44007256627082825
0001_c5_f0051367.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.2657824158668518
0001_c5_f0051367.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.3705744743347168
0001_c5_f0051367.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.3974122703075409
0001_c5_f0051367.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.3975087106227875
0001_c5_f0051487.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.18405437469482422
0001_c5_f0051487.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.20668059587478638
0001_c5_f0051487.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.23976446688175201
0001_c5_f0051487.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.2684798240661621
0001_c5_f0051487.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.3455209732055664
0001_c5_f0051487.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.4172424376010895
0001_c5_f0051487.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.464170902967453
0001_c5_f0051487.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.4734603762626648
0001_c5_f0051487.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.2919677793979645
0001_c5_f0051487.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.38170501589775085
0001_c5_f0051487.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.4082969129085541
0001_c5_f0051487.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.408830463886261
0001_c5_f0051607.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.14182095229625702
0001_c5_f0051607.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.15066082775592804
0001_c5_f0051607.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.1760271042585373
0001_c5_f0051607.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.20905904471874237
0001_c5_f0051607.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.2832125127315521
0001_c5_f0051607.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.3581600487232208
0001_c5_f0051607.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.41088467836380005
0001_c5_f0051607.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.42298176884651184
0001_c5_f0051607.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.2541812062263489
0001_c5_f0051607.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.34445181488990784
0001_c5_f0051607.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.36870551109313965
0001_c5_f0051607.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.36946678161621094
0001_c5_f0051727.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.17232653498649597
0001_c5_f0051727.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.19012677669525146
0001_c5_f0051727.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.21925678849220276
0001_c5_f0051727.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.2527127265930176
0001_c5_f0051727.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.3224046528339386
0001_c5_f0051727.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.40138497948646545
0001_c5_f0051727.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.4504244029521942
0001_c5_f0051727.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.46334582567214966
0001_c5_f0051727.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.28164100646972656
0001_c5_f0051727.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.38264140486717224
0001_c5_f0051727.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.40872806310653687
0001_c5_f0051727.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.4096658527851105
